,Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
9,Argentina,ARG,5.42784287621933,-0.852021521903339,-5.30819682539126,10.1302976615431,10.5694333376394,-0.659726170629824,3.19199662339177,4.82250077932424,9.67952601078326,3.04564331917115,5.65813108184925,1.62841651825939,2.81175403849035,5.5338043957736,-0.0284121037110907,-2.01825151683394,6.93414775653342,-4.50612480201359,10.2227634638681,1.51878394990179,-5.18978914135593,-0.735659159103619,4.34909327926756,1.57073870182023,-5.18902435343904,6.15337706275693,2.70486882770558,-1.08993334133791,-7.15694965597953,-2.46721377810472,9.13311056738961,7.93729155643076,8.20697907221228,5.83620070368526,-2.84520961057079,5.52668982715234,8.1110467707457,3.85017885156228,-3.38545704063269,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068152,8.85165992013437,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,6.02074537534855,-1.85578803046339,-1.34293072157739,4.36733330217022
12,Antigua y Barbuda,ATG,4.89227701008051,5.41188961342047,4.71029133985073,5.8000000040378,4.93054100754495,5.374419926244045,4.13486416579858,5.21514161490035,4.73690901583991,4.94188689356858,4.3046924914760805,5.13657134176563,5.504994988357835,5.43490275126951,2.561627639769175,5.298744202312005,5.626283731931795,4.38351247709541,8.07944622901869,8.16198385854459,3.81444815121563,-0.0835066842627157,5.36381884798783,10.1652301394506,7.64384442301511,11.4936693741042,6.6261349331762,5.21313204893121,5.25230146300468,3.01181316687232,2.17685217398964,1.15855077710827,5.27988683522082,6.67640654973411,-4.35978466639605,6.6049448827643,5.47125581395349,4.73127914935051,3.70774594512658,6.20355212555867,-4.54810977120295,1.02723486062159,6.07663666406602,5.76710338270556,6.47368941781741,12.7081474873625,9.31518272315685,-0.0140065981851762,-11.9628794703471,-7.84050683730972,-1.95874262217572,3.37314273947959,-0.600982329599361,2.19829188738797,1.42161997595372,4.1203675438061,2.71272657973627,6.71200487159726,3.1722219373937,-18.8687765208148,8.17286311186622,8.49776342254205,3.86550160079324,2.54044193946544,4.99803998431987
23,Bahamas,BHS,10.6670974062853,10.4519718914791,10.524055218681,10.5015672000336,10.4255964611444,9.07192872047429,9.59811387222918,8.42176356182298,8.98166256974302,-5.64964950396579,1.62650874068258,-3.49733593905746,7.56756882672917,-16.7542290832579,-14.8031263075446,5.18518497429477,9.15492920885433,14.1795201542182,26.1392957664775,6.49528192098035,-9.22640508127346,6.69889774710882,3.59705186742775,14.1711486350236,4.8291801053918,1.79700023310696,2.98451933857808,2.30970766214169,6.72732980687955,-1.59624908755521,-4.18178502345002,-3.82558229706301,0.307806596011844,3.14891597200189,4.37875203482501,4.22353036224139,1.28775320549799,4.71679855496301,7.14410390677141,4.14841930754267,2.62600982683425,2.70495624731029,-1.26491667612372,0.882373744518318,3.39608420536011,2.51659221712706,1.44609991235758,-2.32364807041851,-4.17542805647342,1.53866248693835,0.613170735890648,4.52003886739061,-2.86320081549439,1.8469701294558,0.997411675486745,-1.15650811269629,3.3713988456489,2.39795510823548,-0.838585871193203,-20.0893664891399,17.5861390037409,10.8779009410268,3.04824180553773,3.37866553336166,2.724158767638825
26,Belice,BLZ,4.89227701008051,4.89265226468763,4.95643417667813,4.99987981197741,4.93054100754495,4.77084518419552,4.91312320896799,7.36722545020247,5.1063747050941,4.80769339437559,3.95944112009168,10.2183037621063,5.35189410587191,13.5599852156644,3.59282437676988,-0.034020934426735,6.49659440643893,7.92080717322925,7.51702144443351,12.1087499161075,1.1332973556395,-0.106723585912476,-2.1474358974359,1.97619827492083,1.00642398286939,4.54738181047276,10.7269593429991,9.78848090834173,13.0108423686405,11.3429425965195,11.7787032699319,12.7362233602929,6.13788542592131,-0.0199863391166843,0.731558011871286,1.10530578663676,4.2346158780441,3.89301999542513,9.42319471476534,12.2406120663359,4.99356206143864,5.39907320663811,9.66522679614125,4.78066505273344,2.2191905367057,4.51145460193301,3.33939738340764,-1.62747776449082,-0.446709636828217,1.41741099233461,-0.13007112300869,3.94389321816617,4.06646561608865,3.89226067249989,2.7602602736023,-0.0187414958130319,-1.83323729057784,0.822068592512508,4.25658710030072,-13.5228997055506,17.9899244143607,9.25051329530994,0.500127941638667,3.50466435023895,2.74831731763744
28,Bolivia,BOL,2.08929594236771,5.57891786210311,6.79762576905422,3.95659653084577,4.91344195525969,7.17058966306622,6.31721951733543,8.52944308831106,4.47409732886858,5.23102930423347,5.06333643861974,7.967485209709,5.73916152572539,2.93956780827851,7.31101773140004,4.6145674859863,4.97121565700287,2.05269456633248,0.133344047803448,-1.37177291052787,0.275616372775957,-3.93873792499589,-4.04212140271022,-0.200665696939325,-1.67638978272157,-2.57388420056624,2.46348461969905,2.90949796034215,3.79013096203738,4.63578742813344,5.26652663501228,1.64649821845634,4.26929615211904,4.66726507417057,4.67827659737812,4.36134197138718,4.95420873383996,5.02935475584462,0.426885378297442,2.50781081484664,1.68379914527159,2.48556576601922,2.7113398065361,4.1732955905708,4.42143313550196,4.79700881067477,4.56438425143126,6.14849787777658,3.35699958346049,4.12672258996274,5.20409245282328,5.12227560125973,6.79601141268498,5.46056949136766,4.85718718508603,4.26392086992173,4.19520633364647,2.86808404814794,1.50672102666863,-12.7194690092717,10.0290488827886,3.74741781241461,2.51636590154891,-1.12335595517212,-1.58237567348246
29,Brasil,BRA,8.60000000000014,6.59999999999992,0.600000000000065,3.39999999999985,2.40000000000001,6.7000000000001,4.2,9.79999999999998,9.49999999999993,10.4,11.3429219931908,11.9403481162508,13.9687217796782,8.15393868457201,5.16664908406321,10.2571295347867,4.93432806978961,4.96989768924738,6.7595601220408,9.19999999999976,-4.24999999999956,0.829999999999529,-2.92999999999996,5.39999999999988,7.85000000000042,7.48999999999982,3.52999999999983,-0.059999999999917,3.16000000000032,-4.35000000000022,1.03218958549303,-0.54407204977727,4.9246900037071,5.85287036219013,4.22379363350413,2.20886405039022,3.39484598630671,0.338097901207306,0.467937566477133,4.38794944745618,1.38989640095637,3.05346185909312,1.14082899824888,5.75996463670954,3.20213206130431,3.96198871122617,6.06987060678338,5.09419544658736,-0.125812002161169,7.52822581815364,3.97442307944702,1.92117598576537,3.00482266944432,0.503955740242247,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.76260437908608,3.01669435393015,3.24165532906981,3.41931516501906,2.2857464902475
30,Barbados,BRB,7.69652980063537,9.06075860946092,-5.07842107998037,5.00487575497692,11.4348434925182,4.00337124242253,10.6361361469399,6.92182132881096,7.51840479457435,9.50940299137403,3.91272243933396,1.27380067229434,1.34070042405897,-4.65084124049893,-1.90000000274694,4.36021101015125,3.64220575797367,4.87693931117663,7.89300814347777,4.37306481224466,-1.89975157094865,-4.90093847758146,0.501253132832375,3.60037406483768,1.09823980743214,5.10416666666653,2.59096701118531,3.50538227987897,3.5999999999997,-3.30759330759331,-3.89990721506513,-5.69252080356588,0.793068842655458,2.01078208266563,2.0139983230294,3.97647593869304,4.74010359217981,3.72846419786779,0.33465616730885,4.44718949183194,-2.36546415544167,0.787401645449506,2.175481019956,1.411597864066,3.95545709487497,6.07054679359618,2.07918360507011,0.633460425791839,-5.01727544996282,-8.08072121134387,-0.074211165126286,-2.85797051387257,0.195322007310409,0.807325350394564,-0.772620078410995,1.41632446821541,0.654655602860373,-0.252085325827849,0.241099789148677,-17.4059314651747,8.0198770096479,15.9453206225473,1.81419817804516,3.3669492581395,2.70000021764021
35,Canadá,CAN,3.16329173248933,7.42783725181209,5.29744007975117,6.65599998250741,6.31719994750095,6.75969011323785,3.06542075476872,5.00827413057785,5.06703238381456,2.91871305007516,4.01884505535331,5.51966992842571,6.72864152445543,3.35777594002199,1.5454033371204,5.88927591475903,3.53482658557137,3.73597640512338,3.72519945403704,2.17719922747995,3.41506517464589,-3.16615029457148,2.56225365883793,5.89856946503677,4.73768071614444,2.12148088392294,4.07201567327779,4.41083906453277,2.33732982035617,0.202947848289654,-2.09105516498515,0.890466243956382,2.65770683842972,4.49404933882288,2.68232826962129,1.68896122145787,4.28016680422402,3.89288658501088,5.14100348449622,5.13853918994158,1.87509813099847,2.99925533832644,1.8063851195103,3.09236381038156,3.21045441502793,2.63794375302722,2.04990459443619,0.995406371264522,-2.91508627059555,3.09080633744851,3.1371944343876,1.75566133205234,2.32581356612762,2.87346675579731,0.64997101491096,1.03855091989323,3.03383491841392,2.74296341402246,1.90843193887251,-5.03823342794087,5.95052804984759,4.69541985045903,1.95308552199025,2.04626605401701,1.74268536175708
39,Chile,CHL,5.51961070344885,3.93078479110629,5.68667190016438,2.46113427734542,0.670838636062939,11.4634218589357,3.58811073177469,3.57371701447551,4.10317976748962,1.69447257971353,9.57107393842624,-0.712365918422577,-5.03775611682208,1.2495800122858,-12.2737621533613,3.60469484521828,11.1491944807539,8.02682491365691,8.43582175738598,8.17228334347537,6.71863895635887,-11.5020620535762,-4.9352297090374,3.98371018713553,3.55239860775048,5.40556438635799,6.73884253090458,7.35081069623416,10.3583568690228,3.59872304691744,7.75620189312957,11.5019314370192,6.6855844008042,5.07680374667352,9.25542757753573,7.1148626270751,7.3917392684331,4.18088662700669,-0.2736313981937,4.9716214882971,3.15403492459967,3.20279913520113,4.72324526861041,6.67425416822923,5.83704571917758,6.04999082563968,5.16823098528431,3.78939280635238,-1.11803723642878,5.85165102224047,6.22389678509138,6.15534001855494,3.30850824710085,1.79264947139259,2.15194249981184,1.753038749071,1.35769537343957,3.99002947789977,0.644223402631923,-6.1396969411886,11.3374032409913,2.06391864254198,0.677024831595858,2.80512637106611,2.45925474781374
45,Colombia,COL,5.08921698439107,5.41188961342047,3.28670755407101,6.16694132350723,3.60001138983772,5.23673586229452,4.13486416579858,5.93311799878289,6.10251730873333,6.20779696127698,5.9607279462907,7.66914754440097,6.72295496919133,5.74575718912141,2.32325528115796,4.7283687345395,4.15850545346419,8.4699008376688,5.37911898820207,4.08735367550767,2.27687274512178,0.948420786604515,1.57395603843689,3.35068373940706,3.1071061957296,5.82407613745866,5.36893214821323,4.06417324490376,3.41409610966596,4.28199833053058,2.00160759559029,4.04492943933556,5.38540993901029,5.81466190724336,5.20243759278655,2.05585471287195,3.43029367788374,0.569784088434517,-4.20401524244947,2.92486148176778,1.67789830787579,2.50398046659659,3.91827190322513,5.33302206759905,4.82876110773741,6.71686869844402,6.73819469090975,3.28344618616541,1.13964864548062,4.49465897070922,6.94789198173555,3.91263576716115,5.13399351995672,4.49903000110972,2.95590137527523,2.08738250162794,1.35936086788746,2.56432428277704,3.18685539245533,-7.18591413760859,10.8011981904878,7.32827729427979,0.841819555752039,1.49330728771066,2.64201548985928
48,Costa Rica,CRI,1.8792765563641,5.44239137528257,6.89892344200919,3.65904831413995,8.1905275942481,6.96931903096751,5.65012592038399,8.47330434699469,5.4917999425584,7.5031343433506,6.77850542642196,8.17804513351513,7.70891581191245,5.54489999097116,2.10007104948495,5.51756440295593,8.90447443155162,6.26768682442558,4.93912395498315,0.751895403326387,-2.26165550729671,-7.28556884666179,2.86299270239465,8.02410790730326,0.72160172926823,5.53625084315684,4.76453327969504,3.43214737968852,5.66597554871322,3.55306336572279,2.26565496296189,9.20110358278828,7.09719089594824,4.51902842051615,4.15395329584814,1.35045951266757,5.47616597492105,7.08853729218445,4.147800457203,3.80207210664838,3.49117013515725,3.41687615891895,4.31718000096654,4.42459978667458,3.97666631433462,7.3266951372695,8.21513209207497,4.73817511214847,-0.87345608994562,5.36034347722267,4.40315921836142,4.88259252932575,2.49476596233289,3.54210997703849,3.65208093006359,4.20432320775184,4.15769914676933,2.85285959760458,2.70813912948329,-4.14159340574358,8.21817953969082,5.46119455235068,4.79187732359398,4.08292444182048,4.56033547844829
50,Cuba,CUB,4.89227701008051,5.41188961342047,4.71029133985073,5.8000000040378,4.93054100754495,5.374419926244045,4.13486416579858,5.21514161490035,4.73690901583991,4.94188689356858,8.58385901163629,4.82668584313927,3.43448853582437,0.984491815760862,9.47642606915934,5.4279604586732,8.7095028615293,6.59599856337493,1.08818330173155,-4.84944295088555,19.6883343337449,8.91823496493072,5.4114707238347,7.92971651513383,1.59667459807866,0.0953033856467584,-2.40217253779804,3.70553990905537,0.680083233154079,-2.94856494503389,-10.6926971084884,-11.5806030812698,-14.8781806947595,0.716930310416799,2.45720117243687,7.83874965899149,2.78342504174314,0.159146052326719,6.18875530352257,5.9147601740486,3.18502990449461,1.42482126141282,3.79274022304334,5.77053807021559,11.2016564219094,12.0658631129953,7.26213696647943,4.11682804164681,1.4513054307407,2.39035229650723,2.80230083647626,3.01490028898772,2.74760256257211,1.04757663187654,4.4383335888395,0.512843095700745,1.80979178380274,2.24794852913217,-0.163087223606624,-10.9494359030206,1.25448735650322,1.77465227724316,-1.92937123169681,-1.06173273220524,2.724158767638825
57,Dominica,DMA,4.89227701008051,5.41188961342047,4.71029133985073,5.8000000040378,4.93054100754495,5.374419926244045,4.13486416579858,5.21514161490035,4.73690901583991,4.94188689356858,4.3046924914760805,5.13657134176563,5.504994988357835,5.43490275126951,2.561627639769175,5.298744202312005,5.626283731931795,10.5357457303524,-18.3592854062593,13.3831821469051,10.829331110484,4.12768352803022,2.55631790150646,4.19664686909995,1.42093316227962,7.07335660054757,6.30756102261223,7.81662301716332,-0.191136403056177,5.41798351146888,1.3477691598669,2.02941338180298,2.16142138921818,0.034477526872962,3.0308658627128,3.10419572470771,2.18562742404438,3.77423043853915,0.354077659205259,2.3402193777688,-0.0638434428881567,-3.08742052359268,5.80495468629533,4.09783662273917,0.915286472779144,4.40077479812059,5.3579375575878,7.12131217762231,-1.13575145648322,-0.105610857694984,0.0427388878891435,-0.15739179314221,0.0045039972976042,2.33521742067693,-3.37338262476895,1.44724556489263,-7.5443637547282,2.964010610466,3.94809757938053,-15.7064024545862,5.37983838954712,10.3968076616121,3.65221012208734,2.052738472526,3.05243763087539
59,República Dominicana,DOM,-2.31324874995215,17.0472409332998,6.5029026339739,6.76486511640719,-12.4818339161578,13.4633448325871,3.32754228723313,0.238860484696033,10.8914458307792,18.2266828796502,10.8714660681825,10.3941640767605,12.8957637251018,6.00190290333001,5.19325335716054,6.72812264197154,4.98178395087527,2.14068467652768,4.53139921679188,7.96873850744203,4.27986747952673,1.69870863097844,4.62794634845423,1.25289597452468,-2.12253497623708,3.52199319901496,10.1173673617477,2.15596333107848,4.40053881491089,-5.45431239511254,0.944138889056532,11.2374641300752,7.36669526975602,2.59378305986246,5.69998859173715,5.96119319380874,8.89955230035797,6.70585570778992,5.95651024999543,4.65172550299128,2.46937023763239,4.48650367045651,-1.34935744782766,2.58556667449577,9.43178931977285,9.17120650955299,7.41840577774235,3.26808671288212,1.00345293018719,8.40114541209596,3.19196227475523,2.77567100848816,4.93473300709881,7.11122629673892,6.98771131236387,6.71974078681295,3.93386176401576,7.09751640210159,4.8940301149584,-7.92905234231061,14.0124289062207,5.23795652902595,2.19229848237939,4.95352204492849,2.11739113534632
66,Ecuador,ECU,5.12441487887448,4.91914694399127,2.10636824719379,7.40724535940373,3.27508248987445,-0.33952563927852,4.62107394346161,1.90943839737609,4.66923798208919,6.87192932488124,6.29260619739669,5.01764070581541,13.9506821300277,11.208509630308,10.9721540022298,7.39718761871015,1.6048421092884,5.70682494541619,3.73404840305636,3.70868296743329,5.61286412023385,0.614845351988635,-0.336868770002951,2.62527326806389,3.93500141252335,3.46478251574867,-0.259098708877119,5.89046729088525,1.00577794490313,3.67991405308877,4.29134246404705,2.11431064978969,1.97321813678619,4.25825042741626,2.25254865225104,1.73174762607862,4.32786475767577,3.26652934570988,-4.73938585363382,1.09180164720277,4.20627185748789,4.92809549611376,2.88450036512064,6.83239736646514,5.39862243994342,4.34113198577639,1.90242859700484,6.56492068224719,1.0910129698311,4.02913787986621,8.48147656332823,5.783212336172,7.21123653679159,4.22606520388456,0.119692109287612,-0.687954245877947,5.97039880954841,1.04429460679607,0.1654044646003,-9.24509619165865,9.42189269033631,5.86842354862311,1.8328406107788,-1.94409022506859,3.72594857272087
89,Granada,GRD,4.89227701008051,5.41188961342047,4.71029133985073,5.8000000040378,4.93054100754495,5.374419926244045,4.13486416579858,5.21514161490035,4.73690901583991,4.94188689356858,4.3046924914760805,5.13657134176563,5.504994988357835,5.43490275126951,2.561627639769175,5.298744202312005,5.626283731931795,5.34140218518347,5.60208348590967,-0.534783988422475,1.53418747275683,4.12426157156393,3.63257489695788,3.56846533761095,5.97970814111039,7.19427376957988,9.09742510698013,2.96679168426633,3.76773076437745,4.01261191599704,1.38554578702994,-0.851148756391396,-1.95881558143746,1.69355604419043,2.12947514959858,4.43823471603358,5.01549460936745,11.7535029919192,6.89836243368677,4.88795213650562,-2.02390004072058,3.43732352954147,9.46397343076491,-0.647450316084857,13.2761883306272,-3.99532824427482,6.12345094741467,0.947542624907697,-6.61328134799545,-0.511146187173722,0.764773550338731,-1.15483816409801,2.35109801677905,7.34212396037948,6.44522314693144,3.7396039558691,4.43867566948151,4.36144039364797,0.676511738873756,-13.7566222572107,4.6977240232674,7.31023806981959,4.52657497450693,2.3996478454327,4.41201
